,Farbe,Ort,Bedeutung,IN,OUT,bemerkung,Interface,Klemmen Block
64,blau,,Licht Flur 1,E8.6,,,T4,
65,weiß,,Licht Flur 2,E10.4,,,,
66,gelb,,Licht Außen,E11.1,,,,
67,weiß,,Licht Keller-Flur,E10.6,,,,
68,grün,,n.d.,,,,,
,weiß,,res,,,,,
,braun,,res,,,,,
69,rot,Keller Treppe oben,+24 Volt,,,,BM,9
70,schwarz,,BM,E10.7,,,,
71,weiß,,BM,,,,,
72,gelb,,BM,,,,,
73,rot,Keller Flur unten,+24 Volt,,,,T1,10
74,blau,,Licht Keller-Flur,E11.6,,,,
75,weiß,,-,E11.2,,,,
76,gelb,,-,,,,,
77,weiß,,PT1000,CH3,,SM 1231 ,,
78,grün,,PT1000,CH3,,SM 1231 ,,
,weiß,,res,,,,,
,braun,,res,,,,,
79,rot,Keller Heizraum,+24 Volt,,,,T1,11
80,schwarz,,Licht Heizraum,E10.2,,,,
,weiß,,res,,,,,
,gelb,,res,,,,,
81,rot,Keller Waschraum,+24 Volt,,,,T1,12
82,schwarz,,Licht Waschraum,E10.5,,,,
,weiß,,res,,,,,
,gelb,,res,,,,,
83,rot,Keller Hobbyraum,+24 Volt,,,,T2,13
84,blau,,Licht Hobbyraum 1,E12.0,,,,
85,weiß,,Licht Hobbyraum 2,E13.0,,,,
86,gelb,,hobbyroom leftMiddle,E12.6,,,temp,
87,weiß,,hobbyroom rightMiddle,E12.4,,,,
88,grün,,hobbyroom leftDown,E13.5,,,,
89,weiß,,,,,,,
90,braun,,n.d.,,,,,
91,rot,Keller Vorratsraum,+24 Volt,,,,T1,14
92,blau,,Licht Abstellraum,E12.7,,,,
,weiß,,res,,,,,
,gelb,,res,,,,,
,weiß,,res,,,,,
,grün,,res,,,,,
,weiß,,res,,,,,
,braun,,res,,,,,
93,rot,ETA Kessel,Kessel RX pin 2,CM TX pin 3 (gelb),,,,15
94,blau,,Kessel TX pin 3,CM RX pin 2 (schwarz),,,,
95,weiß,,Kessel GND pin 5,CM GND pin 5 (weiß),,,,
96,gelb,,n.d.,,,,,
97,weiß,,n.d.,,,,,
98,grün,,n.d.,,,,,
99,weiß,,n.d.,,,,,
100,braun,,n.d.,,,,,
101,rot,Verteiler Büro,+24 Volt,,,,,16
102,blau,,Licht Büro Ost,,x,,,
103,weiß,,Licht WHZ Süd,,x,,,
104,gelb,,Licht WHZ Ost,,x,,,
105,weiß,,n.d.,,,,,
106,grün,,n.d.,,,,,
,weiß,,res,,,,,
,braun,,res,,,,,
,weiß,,res,,,,,
,schwarz,,res,,,,,
,weiß,,res,,,,,
,blau,,res,,,,,
107,rot,Keller Thermostat,Kreis Flur,,x,,,17
108,blau,,N,,,vorher Kreis Waschküche,,
109,weiß,,Kreis Vorratsraum,,x,,,
110,gelb,,Kreis Hobbyraum 1,,x,,,
111,weiß,,Kreis Hobbyraum 2,,x,,,
112,grün,,Kreis Waschküche,,x,,,
,weiß,,res,,,,,
,braun,,res,,,,,
,weiß,,res,,,,,
,schwarz,,res,,,,,
,weiß,,res,,,,,
,blau,,res,,,,,
113,rot,Klingel Haustüre,+24 Volt,,,,,18
114,schwarz,,Signal,E12.5,,,,
115,weiß,,signal,,,,,
116,gelb,,signal,,,,,
117,rot,El Türöffner,+24 Volt,,,,,19
118,schwarz,,s,,x,,,
,weiß,,res,,,,,
,gelb,,res,,,,,
119,rot,Gong + PT100,+24 Volt,,,,,20
120,blau,,Masse,,,,temp,
121,weiß,,Temperatur,AI64,,,,
122,gelb,,Luftfeuchte,AI66,,,,
123,weiß,,s,,,,,
124,grün,,s,,,,,
,weiß,,res,,,,,
,braun,,res,,,,,
,rot,Flur Treppe,+24 Volt,,,blind,blind,
,schwarz,,Signal,,,blind,,
,weiß,,Signal,,,blind,,
,gelb,,res,,,blind,,
,,,,,,,,
,rot,,Verteiler OG1,,,,,22
,schwarz,,Verteiler OG1,,,,,
,weiß,,Verteiler OG1,,,,,
,gelb,,Verteiler OG1,,,,,
,,,,,,,,
,rot,,Verteiler OG2,,,,,23
,schwarz,,Verteiler OG2,,,,,
,weiß,,Verteiler OG2,,,,,
,gelb,,Verteiler OG2,,,,,
